日期,收盘,开盘,高,低,涨跌幅
2015年3月4日,1300.6,1300.6,1300.6,1300.6,-0.0028000000000000004
2015年3月5日,1296.1,1296.1,1296.1,1296.1,-0.0034999999999999996
2015年3月6日,1265.6,1265.6,1265.6,1265.6,-0.0235
2015年3月9日,1268.0,1268.0,1268.0,1268.0,0.0019
2015年4月10日,1293.3,1293.3,1293.3,1293.3,0.0091
2015年4月13日,1287.8,1287.8,1287.8,1287.8,-0.0043
2015年4月14日,1278.1,1278.1,1278.1,1278.1,-0.0075
2015年4月15日,1286.5,1286.5,1286.5,1286.5,0.0066
2015年4月16日,1283.0,1283.0,1283.0,1283.0,-0.0027
2015年4月17日,1288.1,1288.1,1288.1,1288.1,0.004
2015年4月1日,1294.2,1294.2,1294.2,1294.2,0.0173
2015年4月20日,1279.3,1279.3,1279.3,1279.3,-0.0068000000000000005
2015年4月21日,1289.1,1289.1,1289.1,1289.1,0.0077
2015年4月22日,1274.7,1274.7,1274.7,1274.7,-0.011200000000000002
2015年4月23日,1282.0,1282.0,1282.0,1282.0,0.005699999999999999
2015年4月24日,1260.4,1260.4,1260.4,1260.4,-0.0168
2015年4月27日,1289.2,1289.2,1289.2,1289.2,0.022799999999999997
2015年4月28日,1301.4,1301.4,1301.4,1301.4,0.0095
2015年4月29日,1300.0,1300.0,1300.0,1300.0,-0.0011
2015年4月2日,1288.2,1288.2,1288.2,1288.2,-0.0046
2015年4月30日,1273.0,1273.0,1273.0,1273.0,-0.0208
2015年4月3日,1288.2,1288.2,1288.2,1288.2,0.0
2015年4月6日,1305.4,1305.4,1305.4,1305.4,0.0134
2015年4月7日,1298.4,1298.4,1298.4,1298.4,-0.0054
2015年4月8日,1291.1,1291.1,1291.1,1291.1,-0.005600000000000001
2015年4月9日,1281.6,1281.6,1281.6,1281.6,-0.0074
2015年5月11日,1277.3,1277.3,1277.3,1277.3,-0.0040999999999999995
2015年5月12日,1287.0,1287.0,1287.0,1287.0,0.0076
2015年5月13日,1312.2,1312.2,1312.2,1312.2,0.0196
2015年5月14日,1319.0,1319.0,1319.0,1319.0,0.0052
2015年5月15日,1318.9,1318.9,1318.9,1318.9,-0.0001
2015年5月18日,1321.2,1321.2,1321.2,1321.2,0.0017000000000000001
2015年5月19日,1301.4,1317.5,1318.2,1317.5,-0.015
2015年5月1日,1266.1,1266.1,1266.1,1266.1,-0.0054
2015年5月20日,1303.5,1303.5,1303.5,1303.5,0.0016
2015年5月21日,1298.1,1298.1,1298.1,1296.5,-0.0040999999999999995
2015年5月22日,1299.7,1299.7,1299.7,1292.0,0.0012
2015年5月24日,1204.4,1205.8,1205.8,1203.9,-0.0733
2015年5月25日,1207.4,1204.6,1209.0,1203.3,0.0025
2015年5月26日,1282.2,1288.9,1288.9,1280.0,0.062
2015年5月27日,1278.6,1278.6,1278.6,1279.0,-0.0028000000000000004
2015年5月28日,1280.5,1280.5,1280.5,1278.0,0.0015
2015年5月29日,1280.7,1280.7,1280.7,1276.5,0.0002
2015年5月4日,1279.0,1279.0,1279.0,1279.0,0.0102
2015年5月5日,1288.2,1288.2,1288.2,1288.2,0.0072
2015年5月6日,1286.7,1286.7,1286.7,1286.7,-0.0012
2015年5月7日,1278.5,1278.5,1278.5,1278.5,-0.0064
2015年5月8日,1282.5,1282.5,1282.5,1282.5,0.0031
2015年6月10日,1288.6,1288.6,1288.6,1288.6,0.0092
2015年6月11日,1282.6,1282.6,1282.6,1282.6,-0.004699999999999999
2015年6月12日,1281.0,1281.0,1281.0,1281.0,-0.0012
2015年6月15日,1285.8,1285.8,1285.8,1285.8,0.0037
2015年6月16日,1279.4,1279.4,1279.4,1279.4,-0.005
2015年6月17日,1276.9,1276.9,1276.9,1276.9,-0.002
2015年6月18日,1300.8,1300.8,1300.8,1300.8,0.0187
2015年6月19日,1299.4,1299.4,1299.4,1296.0,-0.0011
2015年6月1日,1280.4,1280.4,1280.4,1280.4,-0.0002
2015年6月22日,1282.1,1282.1,1282.1,1282.1,-0.013300000000000001
2015年6月23日,1274.8,1274.8,1274.8,1274.8,-0.005699999999999999
2015年6月24日,1271.0,1271.0,1271.0,1271.0,-0.003
2015年6月25日,1270.3,1270.3,1270.3,1270.3,-0.0006
2015年6月26日,1273.1,1273.1,1273.1,1270.0,0.0022
2015年6月29日,1278.0,1278.0,1278.0,1278.0,0.0038
2015年6月2日,1287.8,1287.8,1287.8,1287.8,0.0058
2015年6月30日,1270.8,1270.8,1270.8,1270.8,-0.005600000000000001
2015年6月3日,1279.9,1279.9,1279.9,1279.9,-0.0060999999999999995
2015年6月4日,1270.1,1270.1,1270.1,1268.5,-0.0077
2015年6月5日,1266.6,1264.0,1266.8,1263.0,-0.0028000000000000004
2015年6月8日,1272.0,1272.0,1272.0,1272.0,0.0043
2015年6月9日,1276.8,1276.8,1276.8,1276.8,0.0038
2015年7月10日,1256.6,1256.6,1256.6,1256.6,0.0012
2015年7月13日,1255.0,1255.0,1255.0,1255.0,-0.0013
2015年7月14日,1252.4,1252.4,1252.4,1252.4,-0.0021
2015年7月15日,1246.3,1246.3,1246.3,1246.3,-0.0049
2015年7月16日,1243.2,1243.2,1243.2,1243.2,-0.0025
2015年7月17日,1230.7,1230.7,1230.7,1230.7,-0.0101
2015年7月1日,1268.5,1268.5,1268.5,1268.0,-0.0018
2015年7月20日,1205.5,1205.5,1205.5,1205.5,-0.020499999999999997
2015年7月21日,1199.5,1199.5,1199.5,1199.5,-0.005
2015年7月22日,1187.6,1187.6,1187.6,1187.6,-0.009899999999999999
2015年7月23日,1190.1,1190.1,1190.1,1190.1,0.0021
2015年7月24日,1180.0,1180.0,1180.0,1180.0,-0.0085
2015年7月27日,1190.6,1190.6,1190.6,1190.6,0.009000000000000001
2015年7月28日,1190.6,1190.6,1190.6,1190.6,0.0
2015年7月29日,1187.5,1187.5,1187.5,1187.5,-0.0026
2015年7月2日,1261.5,1261.5,1261.5,1261.5,-0.0055000000000000005
2015年7月30日,1183.4,1183.4,1183.4,1183.4,-0.0034999999999999996
2015年7月31日,1183.1,1183.1,1183.1,1183.1,-0.0003
2015年7月3日,1167.8,1164.7,1169.0,1164.6,-0.07429999999999999
2015年7月6日,1270.6,1270.6,1270.6,1270.6,0.08800000000000001
2015年7月7日,1249.5,1249.5,1249.5,1249.5,-0.0166
2015年7月8日,1258.6,1258.6,1258.6,1258.6,0.0073
2015年7月9日,1255.1,1255.1,1255.1,1255.1,-0.0028000000000000004
2015年8月10日,1195.8,1195.8,1195.8,1195.8,0.0084
2015年8月11日,1197.7,1197.7,1197.7,1197.7,0.0016
2015年8月12日,1213.0,1213.0,1213.0,1213.0,0.0128
2015年8月13日,1205.1,1205.1,1205.1,1205.1,-0.006500000000000001
2015年8月14日,1202.3,1202.3,1202.3,1202.3,-0.0023
2015年8月17日,1207.9,1207.9,1207.9,1207.9,0.004699999999999999
2015年8月18日,1206.3,1206.3,1206.3,1206.3,-0.0013
2015年8月19日,1217.1,1217.1,1217.1,1217.1,0.009000000000000001
2015年8月20日,1242.2,1242.2,1242.2,1242.2,0.0206
2015年8月21日,1246.8,1246.8,1246.8,1246.8,0.0037
2015年8月24日,1238.9,1238.9,1238.9,1238.9,-0.0063
2015年8月25日,1223.7,1223.7,1223.7,1223.7,-0.0123
2015年8月26日,1209.0,1209.0,1209.0,1209.0,-0.012
2015年8月27日,1207.2,1207.2,1207.2,1207.2,-0.0015
2015年8月28日,1218.4,1218.4,1218.4,1218.4,0.009300000000000001
2015年8月31日,1216.9,1216.9,1216.9,1216.9,-0.0012
2015年8月3日,1176.8,1176.8,1176.8,1176.8,-0.0053
2015年8月4日,1178.7,1178.7,1178.7,1178.7,0.0016
2015年8月5日,1177.1,1177.1,1177.1,1177.1,-0.0014000000000000002
2015年8月6日,1181.6,1181.6,1181.6,1181.6,0.0038
2015年8月7日,1185.8,1185.8,1185.8,1185.8,0.0036
2015年9月10日,1187.9,1187.9,1187.9,1187.9,0.0060999999999999995
2015年9月11日,1181.9,1181.9,1181.9,1181.9,-0.0051
2015年9月14日,1185.7,1185.7,1185.7,1185.7,0.0032
2015年9月15日,1180.5,1180.5,1180.5,1180.5,-0.0044
2015年9月16日,1196.3,1188.4,1188.4,1188.4,0.0134
2015年9月17日,1194.9,1194.9,1194.9,1194.9,-0.0012
2015年9月18日,1214.1,1214.1,1214.1,1214.1,0.0161
2015年9月1日,1221.3,1221.3,1221.3,1221.3,0.0036
2015年9月21日,1209.4,1209.4,1209.4,1209.4,-0.0039000000000000003
2015年9月22日,1199.6,1199.6,1199.6,1199.6,-0.008100000000000001
2015年9月23日,1206.3,1206.3,1206.3,1206.3,0.005600000000000001
2015年9月24日,1226.9,1226.9,1226.9,1226.9,0.0171
2015年9月25日,1218.8,1218.8,1218.8,1218.8,-0.0066
2015年9月28日,1204.4,1204.4,1204.4,1204.4,-0.0118
2015年9月29日,1199.1,1199.1,1199.1,1199.1,-0.0044
2015年9月2日,1214.4,1214.4,1214.4,1214.4,-0.005600000000000001
2015年9月30日,1183.6,1183.6,1183.6,1183.6,-0.0129
2015年9月3日,1203.5,1203.5,1203.5,1203.5,-0.009000000000000001
2015年9月4日,1200.5,1200.5,1200.5,1200.5,-0.0025
2015年9月6日,1119.9,1122.3,1123.1,1119.6,-0.06709999999999999
2015年9月7日,1119.9,1119.5,1124.0,1115.2,0.0
2015年9月8日,1199.9,1199.9,1199.9,1199.9,0.07139999999999999
2015年9月9日,1180.7,1180.7,1180.7,1180.7,-0.016
2016年10月10日,1313.9,1313.9,1313.9,1313.9,0.0072
2016年10月11日,1309.5,1309.5,1309.5,1309.5,-0.0033
2016年10月12日,1307.7,1307.7,1307.7,1307.7,-0.0014000000000000002
2016年10月13日,1312.3,1312.3,1312.3,1312.3,0.0034999999999999996
2016年10月14日,1310.4,1310.4,1310.4,1310.4,-0.0014000000000000002
2016年10月17日,1311.8,1311.8,1311.8,1311.8,0.0011
2016年10月18日,1318.6,1318.6,1318.6,1318.6,0.0052
2016年10月19日,1325.2,1325.2,1325.2,1325.2,0.005
2016年10月20日,1323.5,1323.5,1323.5,1323.5,-0.0013
2016年10月21日,1323.0,1323.0,1323.0,1323.0,-0.0004
2016年10月24日,1317.2,1317.2,1317.2,1317.2,-0.0044
2016年10月25日,1331.6,1331.6,1331.6,1331.6,0.0109
2016年10月26日,1324.6,1324.6,1324.6,1324.6,-0.0053
2016年10月27日,1330.0,1330.0,1330.0,1330.0,0.0040999999999999995
2016年10月28日,1337.1,1337.1,1337.1,1337.1,0.0053
2016年10月31日,1333.7,1333.7,1333.7,1333.7,-0.0025
2016年10月3日,1365.9,1365.9,1365.9,1365.9,-0.0033
2016年10月4日,1322.1,1322.1,1322.1,1322.1,-0.0321
2016年10月5日,1321.3,1321.3,1321.3,1321.3,-0.0006
2016年10月6日,1305.5,1305.5,1305.5,1305.5,-0.012
2016年10月7日,1304.5,1304.5,1304.5,1304.5,-0.0008
2016年11月10日,1326.6,1326.6,1326.6,1326.6,-0.0068000000000000005
2016年11月11日,1282.7,1282.7,1282.7,1282.7,-0.0331
2016年11月14日,1286.9,1286.9,1286.9,1286.9,0.0033
2016年11月15日,1290.9,1290.9,1290.9,1290.9,0.0031
2016年11月16日,1290.3,1290.3,1290.3,1290.3,-0.0005
2016年11月17日,1283.8,1283.8,1283.8,1283.8,-0.005
2016年11月18日,1276.4,1276.4,1276.4,1276.4,-0.0058
2016年11月1日,1348.0,1348.0,1348.0,1348.0,0.010700000000000001
2016年11月21日,1276.8,1276.8,1276.8,1276.8,0.0003
2016年11月22日,1278.0,1278.0,1278.0,1278.0,0.0009
2016年11月23日,1256.9,1256.9,1256.9,1256.9,-0.0165
2016年11月24日,1185.55,1189.2,1190.3,1179.75,-0.056799999999999996
2016年11月25日,1245.5,1245.5,1245.5,1245.5,0.0506
2016年11月28日,1258.6,1258.6,1258.6,1258.6,0.0105
2016年11月29日,1255.5,1255.5,1255.5,1255.5,-0.0025
2016年11月2日,1368.0,1368.0,1368.0,1368.0,0.0148
2016年11月30日,1238.4,1238.4,1238.4,1238.4,-0.013600000000000001
2016年11月3日,1363.8,1363.8,1363.8,1363.8,-0.0031
2016年11月4日,1365.7,1365.7,1365.7,1365.7,0.0014000000000000002
2016年11月7日,1340.4,1340.4,1340.4,1340.4,-0.018500000000000003
2016年11月8日,1336.2,1336.2,1336.2,1336.2,-0.0031
2016年11月9日,1335.7,1334.0,1334.0,1334.0,-0.0004
2016年12月12日,1240.3,1240.3,1240.3,1240.3,0.0034999999999999996
2016年12月13日,1233.6,1233.6,1233.6,1233.6,-0.0054
2016年12月14日,1238.3,1238.3,1238.3,1238.3,0.0038
2016年12月15日,1213.1,1213.1,1213.1,1213.1,-0.0204
2016年12月16日,1220.9,1220.9,1220.9,1220.9,0.0064
2016年12月19日,1225.9,1225.9,1225.9,1225.9,0.0040999999999999995
2016年12月1日,1233.7,1233.7,1233.7,1233.7,-0.0038
2016年12月20日,1217.0,1217.0,1217.0,1217.0,-0.0073
2016年12月21日,1216.5,1216.5,1216.5,1216.5,-0.0004
2016年12月22日,1213.8,1213.8,1213.8,1213.8,-0.0022
