日期,收盘,开盘,高,低,交易量,涨跌幅
2021年1月27日,30404.00 ,32499.60 ,32545.40 ,29290.40 ,194.35K,-6.46%
2021年1月26日,32502.10 ,32244.10 ,32917.70 ,30850.00 ,139.84K,0.77%
2021年1月25日,32252.30 ,32244.30 ,34854.30 ,31967.40 ,142.43K,0.03%
2021年1月24日,32241.30 ,32088.50 ,33034.80 ,30982.90 ,88.21K,0.47%
2021年1月23日,32088.90 ,32994.10 ,33441.40 ,31418.20 ,100.70K,-2.76%
2021年1月22日,33000.50 ,30838.70 ,33821.20 ,28871.20 ,243.09K,7.00%
2021年1月21日,30842.10 ,35472.30 ,35591.10 ,30101.80 ,253.27K,-13.06%
2021年1月20日,35476.30 ,35862.10 ,36384.40 ,33444.50 ,153.61K,-1.46%
2021年1月19日,36002.90 ,36630.60 ,37821.00 ,36001.40 ,79.11K,-1.67%
2021年1月18日,36613.20 ,35838.20 ,37436.80 ,34801.00 ,111.52K,2.16%
2021年1月17日,35839.60 ,36020.10 ,36801.30 ,33883.50 ,126.82K,-0.50%
2021年1月16日,36019.50 ,36751.80 ,37931.70 ,35408.40 ,137.02K,-2.24%
2021年1月15日,36845.80 ,39175.70 ,39715.00 ,34488.70 ,118.42K,-5.95%
2021年1月14日,39175.70 ,37383.40 ,40054.30 ,36772.10 ,172.40K,4.80%
2021年1月13日,37382.20 ,34061.20 ,37764.60 ,32451.90 ,209.93K,9.70%
2021年1月12日,34076.10 ,35426.00 ,36598.70 ,32572.70 ,241.93K,-4.13%
2021年1月11日,35544.30 ,38195.30 ,38217.20 ,30411.60 ,251.04K,-6.93%
2021年1月10日,38192.20 ,40149.70 ,41362.40 ,35141.60 ,215.78K,-4.88%
2021年1月9日,40151.90 ,40607.20 ,41363.50 ,38775.10 ,128.42K,-1.10%
2021年1月8日,40599.30 ,39466.40 ,41921.70 ,36613.40 ,251.29K,2.89%
2021年1月7日,39460.20 ,36798.50 ,40340.90 ,36361.20 ,249.60K,7.25%
2021年1月6日,36793.20 ,33999.30 ,36934.80 ,33408.30 ,227.56K,8.24%
2021年1月5日,33991.50 ,32015.40 ,34414.70 ,30010.50 ,202.13K,6.15%
2021年1月4日,32022.60 ,33016.60 ,33587.50 ,28204.50 ,255.27K,-2.84%
2021年1月3日,32958.90 ,32192.90 ,34755.90 ,32029.60 ,155.21K,2.38%
2021年1月2日,32193.30 ,29359.70 ,33233.50 ,29008.00 ,240.87K,9.65%
2021年1月1日,29359.90 ,28951.70 ,29627.10 ,28712.40 ,100.90K,1.42%
2020年12月31日,28949.40 ,28866.80 ,29298.80 ,28025.00 ,136.69K,0.28%
2020年12月30日,28868.70 ,27374.50 ,28979.30 ,27374.50 ,159.82K,5.45%
2020年12月29日,27376.00 ,27065.30 ,27390.70 ,25902.80 ,119.57K,1.18%
2020年12月28日,27057.80 ,26259.20 ,27444.90 ,26144.30 ,126.98K,3.03%
2020年12月27日,26261.30 ,26460.30 ,28360.30 ,25858.20 ,231.23K,-0.73%
2020年12月26日,26454.40 ,24714.70 ,26826.00 ,24515.10 ,155.77K,7.15%
2020年12月25日,24689.60 ,23728.70 ,24778.90 ,23445.30 ,2.40K,4.02%
2020年12月24日,23736.50 ,23253.20 ,23783.70 ,22737.30 ,104.59K,2.06%
2020年12月23日,23257.90 ,23820.80 ,24063.70 ,22694.70 ,178.47K,-2.37%
2020年12月22日,23823.20 ,22730.40 ,23825.40 ,22388.60 ,130.75K,4.82%
2020年12月21日,22728.50 ,23474.10 ,24101.90 ,22015.50 ,154.69K,-3.18%
2020年12月20日,23474.90 ,23843.60 ,24280.90 ,23098.90 ,114.09K,-1.55%
2020年12月19日,23844.00 ,23127.60 ,24107.10 ,22797.00 ,133.88K,3.10%
2020年12月18日,23127.90 ,22823.30 ,23272.80 ,22361.50 ,131.80K,1.33%
2020年12月17日,22825.40 ,21352.30 ,23738.00 ,21243.10 ,310.74K,6.90%
2020年12月16日,21352.20 ,19434.70 ,21525.30 ,19299.70 ,199.81K,9.87%
2020年12月15日,19434.90 ,19273.90 ,19556.30 ,19076.20 ,98.39K,0.84%
2020年12月14日,19273.80 ,19176.40 ,19346.50 ,19007.00 ,67.11K,0.51%
2020年12月13日,19176.80 ,18808.10 ,19403.60 ,18716.80 ,82.45K,1.96%
2020年12月12日,18808.90 ,18026.70 ,18936.20 ,18025.10 ,71.37K,4.36%
2020年12月11日,18023.60 ,18250.50 ,18288.30 ,17600.10 ,111.53K,-1.23%
2020年12月10日,18247.20 ,18546.10 ,18551.80 ,17926.80 ,85.31K,-1.61%
2020年12月9日,18546.00 ,18322.40 ,18637.90 ,17658.80 ,129.72K,1.20%
2020年12月8日,18326.60 ,19170.80 ,19288.60 ,18229.20 ,101.41K,-4.40%
2020年12月7日,19170.70 ,19368.40 ,19424.60 ,18908.80 ,61.98K,-1.08%
2020年12月6日,19379.90 ,19146.00 ,19417.10 ,18873.00 ,54.56K,1.22%
2020年12月5日,19146.50 ,18657.50 ,19172.70 ,18507.10 ,59.44K,2.62%
2020年12月4日,18658.10 ,19431.10 ,19529.50 ,18610.80 ,110.63K,-3.99%
2020年12月3日,19433.30 ,19219.80 ,19596.60 ,18883.70 ,99.97K,1.12%
2020年12月2日,19218.80 ,18767.90 ,19335.50 ,18346.70 ,91.92K,2.39%
2020年12月1日,18770.70 ,19697.80 ,19897.40 ,18257.00 ,208.72K,-4.71%
2020年11月30日,19698.10 ,18186.00 ,19831.20 ,18186.00 ,185.59K,8.32%
2020年11月29日,18185.50 ,17729.70 ,18336.30 ,17530.40 ,79.12K,2.57%
2020年11月28日,17730.70 ,17142.60 ,17874.40 ,16874.40 ,95.20K,3.52%
2020年11月27日,17127.10 ,17160.90 ,17450.30 ,16481.60 ,138.80K,-0.20%
2020年11月26日,17162.00 ,18721.90 ,18894.90 ,16235.20 ,312.07K,-8.34%
2020年11月25日,18723.00 ,19151.50 ,19486.70 ,18527.70 ,146.12K,-2.24%
