日期,开盘,收盘,高,低,涨跌幅
2015年11月4日,396.5,400.9,492.8,368.6,0.0111
2015年11月5日,400.9,382.7,447.2,366.1,-0.0454
2015年11月6日,382.7,369.8,396.4,348.8,-0.0337
2015年11月7日,369.8,385.1,391.8,369,0.0413
2015年11月8日,385.1,371.6,389.8,365.5,-0.0351
2015年11月9日,371.6,380.2,385.1,360.2,0.0233
2015年12月10日,416,415.5,420.4,409.5,-0.0012
2015年12月11日,415.5,449.8,453.4,413.7,0.0826
2015年12月12日,449.8,432.3,467.7,403.7,-0.039
2015年12月13日,432.3,434.7,441,420.8,0.0056
2015年12月14日,434.7,442,449.5,428.8,0.0168
2015年12月15日,442,462.6,464.2,440.7,0.0467
2015年12月16日,462.6,454,465.2,437.4,-0.0187
2015年12月17日,454,455.5,458.4,447.3,0.0034
2015年12月18日,455.5,463.2,466.1,453.5,0.0168
2015年12月19日,463.2,461.2,466,452.3,-0.0043
2015年12月1日,378,361.8,379,353.7,-0.0428
2015年12月20日,461.2,441.8,462.8,431.1,-0.0421
2015年12月21日,441.8,437.6,445.5,424,-0.0095
2015年12月22日,437.6,437,443.2,433.3,-0.0013
2015年12月23日,437,442.4,444.8,434.3,0.0124
2015年12月24日,442.4,453,460.6,441.8,0.0238
2015年12月25日,453,454,457.4,449.5,0.0024
2015年12月26日,454,415.4,456.5,400.5,-0.0852
2015年12月27日,415.4,422.4,425.5,406.1,0.0169
2015年12月28日,422.4,421.8,429.9,417.1,-0.0015
2015年12月29日,421.8,431.9,433.6,419.3,0.0241
2015年12月2日,361.8,360,363.4,347.2,-0.005
2015年12月30日,431.9,427.1,435,420.8,-0.011
2015年12月31日,427.1,430,433.1,417.1,0.0066
2015年12月3日,360,360.3,371.4,355.5,0.0009
2015年12月4日,360.3,361.7,364,354.3,0.0038
2015年12月5日,361.7,386.7,390.3,361.5,0.0692
2015年12月6日,386.7,393.4,402.2,382.6,0.0173
2015年12月7日,393.4,394.3,398.7,381.7,0.0023
2015年12月8日,394.3,410.7,411.1,388,0.0416
2015年12月9日,410.7,416,424.6,403.3,0.013
2015年1月10日,288,273.4,289.3,272,-0.0508
2015年1月11日,273.4,264.8,278,263.8,-0.0314
2015年1月12日,264.8,269.3,273.1,263.3,0.0172
2015年1月13日,269.3,221.3,269.1,217.1,-0.1784
2015年1月14日,221.3,164.9,230.9,157.3,-0.2547
2015年1月15日,164.9,209.8,231.3,164.6,0.272
2015年1月16日,209.8,206.9,222.6,198.7,-0.0136
2015年1月17日,206.9,199.6,212.6,191.7,-0.0351
2015年1月18日,199.6,210.6,220.7,192.5,0.0549
2015年1月19日,210.6,215.9,219.5,205.5,0.0249
2015年1月1日,318.2,314.9,321.4,313.5,-0.0105
2015年1月20日,215.9,210.6,216.6,203.4,-0.0246
2015年1月21日,210.6,228.2,229.3,207.1,0.0837
2015年1月22日,228.2,232.7,238.8,225.6,0.0199
2015年1月23日,232.7,232.2,237,224.8,-0.0023
2015年1月24日,232.2,248.2,248.9,229.6,0.0689
2015年1月25日,248.2,252.1,256.4,241.4,0.0158
2015年1月26日,252.1,269.2,310.9,251.5,0.0678
2015年1月27日,269.2,263.3,276.9,247.3,-0.022
2015年1月28日,263.3,236.2,267.7,228.1,-0.1029
2015年1月29日,236.2,234,241.5,220.4,-0.0092
2015年1月2日,314.9,315.2,316.4,313.1,0.001
2015年1月30日,234,231.8,244.8,227.2,-0.0092
2015年1月31日,231.8,218.5,235.4,216.5,-0.0575
2015年1月3日,315.2,287.1,315.8,284.9,-0.0891
2015年1月4日,287.1,264.7,289.9,255.9,-0.078
2015年1月5日,264.7,274.8,278.3,262.9,0.0382
2015年1月6日,274.8,282.3,285.1,271.5,0.027
2015年1月7日,282.3,291.3,296.1,280.7,0.0321
2015年1月8日,291.3,282.7,292.7,279,-0.0297
2015年1月9日,282.7,288,290.6,277.3,0.0187
2015年2月10日,220.3,219.7,222.2,214.4,-0.003
2015年2月11日,219.7,218.8,223.5,217.3,-0.0038
2015年2月12日,218.8,221.8,223,217.3,0.0135
2015年2月13日,221.8,236.2,241.6,220.6,0.0648
2015年2月14日,236.2,258.6,261.3,235.4,0.0951
2015年2月15日,258.6,233.3,264.6,226.6,-0.0981
2015年2月16日,233.3,235.8,240,228,0.011
2015年2月17日,235.8,243.2,247.2,232,0.0313
2015年2月18日,243.2,235.2,245.5,231.7,-0.0329
2015年2月19日,235.2,241.9,244.1,234.9,0.0286
2015年2月1日,218.5,225.3,231.4,209.7,0.031
2015年2月20日,241.9,244.5,247.8,238.8,0.0107
2015年2月21日,244.5,244.4,247.3,242.6,-0.0004
2015年2月22日,244.4,235.7,246.5,232.7,-0.0355
2015年2月23日,235.7,238.8,240.1,231.3,0.0131
